"Date","TimePoint","Genotype","Colony","Fragment","YII","Sample"
"2023-04-13","T-1","A","Eevee","A_6",0.653,"T-1_A_6"
"2023-04-13","T-1","A","Eevee","A_15",0.642,"T-1_A_15"
"2023-04-13","T-1","A","Eevee","A_84",0.645,"T-1_A_84"
"2023-04-13","T-1","A","Eevee","A_85",0.654,"T-1_A_85"
"2023-04-13","T-1","A","Eevee","A_114",0.659,"T-1_A_114"
"2023-04-13","T-1","A","Eevee","A_118",0.679,"T-1_A_118"
"2023-04-13","T-1","A","Eevee","A_119",0.649,"T-1_A_119"
"2023-04-13","T-1","A","Eevee","A_200",0.638,"T-1_A_200"
"2023-04-13","T-1","A","Eevee","A_203",0.661,"T-1_A_203"
"2023-04-13","T-1","A","Eevee","A_204",0.628,"T-1_A_204"
"2023-04-13","T-1","A","Eevee","A_206",0.63,"T-1_A_206"
"2023-04-13","T-1","A","Eevee","A_208",0.661,"T-1_A_208"
"2023-04-13","T-1","A","Eevee","A_210",0.639,"T-1_A_210"
"2023-04-13","T-1","A","Eevee","A_211",0.636,"T-1_A_211"
"2023-04-13","T-1","A","Eevee","A_215",0.661,"T-1_A_215"
"2023-04-13","T-1","A","Eevee","A_221",0.642,"T-1_A_221"
"2023-04-13","T-1","A","Eevee","A_272",0.642,"T-1_A_272"
"2023-04-13","T-1","A","Eevee","A_274",0.614,"T-1_A_274"
"2023-04-13","T-1","A","Eevee","A_275",0.635,"T-1_A_275"
"2023-04-13","T-1","A","Eevee","A_276",0.624,"T-1_A_276"
"2023-04-13","T-1","A","Eevee","A_277",0.626,"T-1_A_277"
"2023-04-13","T-1","A","Eevee","A_278",0.621,"T-1_A_278"
"2023-04-13","T-1","A","Eevee","A_280",0.617,"T-1_A_280"
"2023-04-13","T-1","A","Eevee","A_281",0.643,"T-1_A_281"
"2023-04-13","T-1","A","Eevee","A_284",0.63,"T-1_A_284"
"2023-04-13","T-1","A","Eevee","A_285",0.621,"T-1_A_285"
"2023-04-13","T-1","A","Eevee","A_286",0.638,"T-1_A_286"
"2023-04-13","T-1","A","Eevee","A_288",0.629,"T-1_A_288"
"2023-04-13","T-1","A","Eevee","A_289",0.633,"T-1_A_289"
"2023-04-13","T-1","A","Eevee","A_290",0.614,"T-1_A_290"
"2023-04-13","T-1","A","Eevee","A_291",0.633,"T-1_A_291"
"2023-04-13","T-1","A","Eevee","A_292",0.619,"T-1_A_292"
"2023-04-13","T-1","A","Eevee","A_294",0.641,"T-1_A_294"
"2023-04-13","T-1","A","Eevee","A_296",0.626,"T-1_A_296"
"2023-04-13","T-1","A","Eevee","A_298",0.615,"T-1_A_298"
"2023-04-13","T-1","A","Eevee","A_301",0.623,"T-1_A_301"
"2023-04-13","T-1","A","Eevee","A_303",0.633,"T-1_A_303"
"2023-04-13","T-1","A","Eevee","A_304",0.62,"T-1_A_304"
"2023-04-13","T-1","A","Eevee","A_306",0.653,"T-1_A_306"
"2023-04-13","T-1","A","Eevee","A_307",0.613,"T-1_A_307"
"2023-04-13","T-1","A","Eevee","A_308",0.612,"T-1_A_308"
"2023-04-13","T-1","A","Eevee","A_309",0.622,"T-1_A_309"
"2023-04-13","T-1","A","Eevee","A_311",0.628,"T-1_A_311"
"2023-04-13","T-1","A","Eevee","A_312",0.606,"T-1_A_312"
"2023-04-13","T-1","A","Eevee","A_313",0.628,"T-1_A_313"
"2023-04-13","T-1","A","Eevee","A_315",0.622,"T-1_A_315"
"2023-04-13","T-1","A","Eevee","A_317",0.607,"T-1_A_317"
"2023-04-13","T-1","A","Eevee","A_318",0.621,"T-1_A_318"
"2023-04-13","T-1","A","Eevee","A_320",0.603,"T-1_A_320"
"2023-04-13","T-1","A","Eevee","A_322",0.615,"T-1_A_322"
"2023-04-13","T-1","A","Eevee","A_326",0.609,"T-1_A_326"
"2023-04-13","T-1","A","Eevee","A_327",0.622,"T-1_A_327"
"2023-04-13","T-1","A","Eevee","A_328",0.619,"T-1_A_328"
"2023-04-13","T-1","B","Magikarp","B_54",0.606,"T-1_B_54"
"2023-04-13","T-1","B","Magikarp","B_55",0.596,"T-1_B_55"
"2023-04-13","T-1","B","Magikarp","B_58",0.626,"T-1_B_58"
"2023-04-13","T-1","B","Magikarp","B_60",0.575,"T-1_B_60"
"2023-04-13","T-1","B","Magikarp","B_62",0.605,"T-1_B_62"
"2023-04-13","T-1","B","Magikarp","B_217",0.618,"T-1_B_217"
"2023-04-13","T-1","B","Magikarp","B_218",0.59,"T-1_B_218"
"2023-04-13","T-1","B","Magikarp","B_219",0.572,"T-1_B_219"
"2023-04-13","T-1","B","Magikarp","B_222",0.594,"T-1_B_222"
"2023-04-13","T-1","B","Magikarp","B_223",0.591,"T-1_B_223"
"2023-04-13","T-1","B","Magikarp","B_224",0.585,"T-1_B_224"
"2023-04-13","T-1","B","Magikarp","B_226",0.59,"T-1_B_226"
"2023-04-13","T-1","B","Magikarp","B_227",0.588,"T-1_B_227"
"2023-04-13","T-1","B","Magikarp","B_228",0.604,"T-1_B_228"
"2023-04-13","T-1","B","Magikarp","B_229",0.595,"T-1_B_229"
"2023-04-13","T-1","B","Magikarp","B_230",0.578,"T-1_B_230"
"2023-04-13","T-1","B","Magikarp","B_232",0.572,"T-1_B_232"
"2023-04-13","T-1","B","Magikarp","B_235",0.629,"T-1_B_235"
"2023-04-13","T-1","B","Magikarp","B_236",0.592,"T-1_B_236"
"2023-04-13","T-1","B","Magikarp","B_237",0.592,"T-1_B_237"
"2023-04-13","T-1","B","Magikarp","B_239",0.622,"T-1_B_239"
"2023-04-13","T-1","B","Magikarp","B_240",0.613,"T-1_B_240"
"2023-04-13","T-1","B","Magikarp","B_241",0.595,"T-1_B_241"
"2023-04-13","T-1","B","Magikarp","B_242",0.58,"T-1_B_242"
"2023-04-13","T-1","B","Magikarp","B_243",0.581,"T-1_B_243"
"2023-04-13","T-1","B","Magikarp","B_244",0.605,"T-1_B_244"
"2023-04-13","T-1","B","Magikarp","B_246",0.626,"T-1_B_246"
"2023-04-13","T-1","B","Magikarp","B_247",0.591,"T-1_B_247"
"2023-04-13","T-1","B","Magikarp","B_248",0.588,"T-1_B_248"
"2023-04-13","T-1","B","Magikarp","B_249",0.605,"T-1_B_249"
"2023-04-13","T-1","B","Magikarp","B_251",0.563,"T-1_B_251"
"2023-04-13","T-1","B","Magikarp","B_252",0.565,"T-1_B_252"
"2023-04-13","T-1","B","Magikarp","B_253",0.599,"T-1_B_253"
"2023-04-13","T-1","B","Magikarp","B_254",0.603,"T-1_B_254"
"2023-04-13","T-1","B","Magikarp","B_260",0.602,"T-1_B_260"
"2023-04-13","T-1","B","Magikarp","B_261",0.583,"T-1_B_261"
"2023-04-13","T-1","B","Magikarp","B_262",0.595,"T-1_B_262"
"2023-04-13","T-1","B","Magikarp","B_263",0.598,"T-1_B_263"
"2023-04-13","T-1","B","Magikarp","B_264",0.567,"T-1_B_264"
"2023-04-13","T-1","B","Magikarp","B_266",0.582,"T-1_B_266"
"2023-04-13","T-1","B","Magikarp","B_267",0.572,"T-1_B_267"
"2023-04-13","T-1","B","Magikarp","B_268",0.577,"T-1_B_268"
"2023-04-13","T-1","B","Magikarp","B_269",0.618,"T-1_B_269"
"2023-04-13","T-1","B","Magikarp","B_270",0.568,"T-1_B_270"
"2023-04-13","T-1","B","Magikarp","B_329",0.586,"T-1_B_329"
"2023-04-13","T-1","B","Magikarp","B_330",0.594,"T-1_B_330"
"2023-04-13","T-1","B","Magikarp","B_332",0.572,"T-1_B_332"
"2023-04-13","T-1","B","Magikarp","B_333",0.559,"T-1_B_333"
"2023-04-13","T-1","B","Magikarp","B_335",0.588,"T-1_B_335"
"2023-04-13","T-1","B","Magikarp","B_336",0.561,"T-1_B_336"
"2023-04-13","T-1","B","Magikarp","B_337",0.595,"T-1_B_337"
"2023-04-13","T-1","B","Magikarp","B_338",0.61,"T-1_B_338"
"2023-04-13","T-1","B","Magikarp","B_339",0.603,"T-1_B_339"
"2023-04-27","T0","A","eevie","A_5",0.664,"T0_A_5"
"2023-04-27","T0","A","eevie","A_19",0.646,"T0_A_19"
"2023-04-27","T0","A","eevie","A_74",0.69,"T0_A_74"
"2023-04-27","T0","A","eevie","A_79",0.673,"T0_A_79"
"2023-04-27","T0","A","eevie","A_80",0.651,"T0_A_80"
"2023-04-27","T0","A","eevie","A_82",0.685,"T0_A_82"
"2023-04-27","T0","A","eevie","A_83",0.661,"T0_A_83"
"2023-04-27","T0","A","eevie","A_96",0.636,"T0_A_96"
"2023-04-27","T0","A","eevie","A_105",0.661,"T0_A_105"
"2023-04-27","T0","A","eevie","A_107",0.667,"T0_A_107"
"2023-04-27","T0","A","eevie","A_109",0.682,"T0_A_109"
"2023-04-27","T0","A","eevie","A_110",0.639,"T0_A_110"
"2023-04-27","T0","A","eevie","A_111",0.659,"T0_A_111"
"2023-04-27","T0","A","eevie","A_121",0.639,"T0_A_121"
"2023-04-27","T0","A","eevie","A_201",0.672,"T0_A_201"
"2023-04-27","T0","A","eevie","A_202",0.665,"T0_A_202"
"2023-04-27","T0","A","eevie","A_205",0.662,"T0_A_205"
"2023-04-27","T0","A","eevie","A_209",0.686,"T0_A_209"
"2023-04-27","T0","A","eevie","A_214",0.661,"T0_A_214"
"2023-04-27","T0","A","eevie","A_287",0.654,"T0_A_287"
"2023-04-27","T0","A","eevie","A_305",0.664,"T0_A_305"
"2023-04-27","T0","A","eevie","A_310",0.667,"T0_A_310"
"2023-04-27","T0","A","eevie","A_321",0.659,"T0_A_321"
"2023-04-27","T0","A","eevie","A_324",0.586,"T0_A_324"
"2023-04-27","T0","A","eevie","A_740",0.585,"T0_A_740"
"2023-04-27","T0","A","eevie","A_741",0.617,"T0_A_741"
"2023-04-27","T0","A","eevie","A_742",0.666,"T0_A_742"
"2023-04-27","T0","A","eevie","A_743",0.656,"T0_A_743"
"2023-04-27","T0","C","Clefairy","C_511",0.532,"T0_C_511"
"2023-04-27","T0","C","Clefairy","C_512",0.534,"T0_C_512"
"2023-04-27","T0","C","Clefairy","C_513",0.529,"T0_C_513"
"2023-04-27","T0","C","Clefairy","C_514",0.535,"T0_C_514"
"2023-04-27","T0","C","Clefairy","C_515",0.543,"T0_C_515"
"2023-04-27","T0","C","Clefairy","C_516",0.545,"T0_C_516"
"2023-04-27","T0","C","Clefairy","C_517",0.55,"T0_C_517"
"2023-04-27","T0","C","Clefairy","C_518",0.546,"T0_C_518"
"2023-04-27","T0","C","Clefairy","C_519",0.556,"T0_C_519"
"2023-04-27","T0","C","Clefairy","C_520",0.529,"T0_C_520"
"2023-04-27","T0","C","Clefairy","C_521",0.537,"T0_C_521"
"2023-04-27","T0","C","Clefairy","C_522",0.527,"T0_C_522"
"2023-04-27","T0","C","Clefairy","C_523",0.547,"T0_C_523"
"2023-04-27","T0","C","Clefairy","C_524",0.522,"T0_C_524"
"2023-04-27","T0","C","Clefairy","C_525",0.547,"T0_C_525"
"2023-04-27","T0","C","Clefairy","C_526",0.542,"T0_C_526"
"2023-04-27","T0","C","Clefairy","C_527",0.551,"T0_C_527"
"2023-04-27","T0","C","Clefairy","C_528",0.526,"T0_C_528"
"2023-04-27","T0","C","Clefairy","C_529",0.535,"T0_C_529"
"2023-04-27","T0","C","Clefairy","C_530",0.541,"T0_C_530"
"2023-04-27","T0","C","Clefairy","C_531",0.543,"T0_C_531"
"2023-04-27","T0","C","Clefairy","C_532",0.533,"T0_C_532"
"2023-04-27","T0","C","Clefairy","C_533",0.541,"T0_C_533"
"2023-04-27","T0","C","Clefairy","C_534",0.547,"T0_C_534"
"2023-04-27","T0","D","Ditto","D_535",0.573,"T0_D_535"
"2023-04-27","T0","D","Ditto","D_536",0.544,"T0_D_536"
"2023-04-27","T0","D","Ditto","D_537",0.544,"T0_D_537"
"2023-04-27","T0","D","Ditto","D_538",0.544,"T0_D_538"
"2023-04-27","T0","D","Ditto","D_539",0.546,"T0_D_539"
"2023-04-27","T0","D","Ditto","D_540",0.559,"T0_D_540"
"2023-04-27","T0","D","Ditto","D_541",0.569,"T0_D_541"
"2023-04-27","T0","D","Ditto","D_542",0.544,"T0_D_542"
"2023-04-27","T0","D","Ditto","D_543",0.534,"T0_D_543"
"2023-04-27","T0","D","Ditto","D_544",0.549,"T0_D_544"
"2023-04-27","T0","D","Ditto","D_545",0.55,"T0_D_545"
"2023-04-27","T0","D","Ditto","D_546",0.574,"T0_D_546"
"2023-04-27","T0","D","Ditto","D_547",0.536,"T0_D_547"
"2023-04-27","T0","D","Ditto","D_548",0.534,"T0_D_548"
"2023-04-27","T0","D","Ditto","D_549",0.556,"T0_D_549"
"2023-04-27","T0","D","Ditto","D_860",0.566,"T0_D_860"
"2023-04-27","T0","D","Ditto","D_861",0.553,"T0_D_861"
"2023-04-27","T0","D","Ditto","D_862",0.549,"T0_D_862"
"2023-04-27","T0","D","Ditto","D_863",0.548,"T0_D_863"
"2023-04-27","T0","D","Ditto","D_864",0.545,"T0_D_864"
"2023-04-27","T0","D","Ditto","D_865",0.534,"T0_D_865"
"2023-04-27","T0","D","Ditto","D_866",0.569,"T0_D_866"
"2023-04-27","T0","D","Ditto","D_867",0.555,"T0_D_867"
"2023-04-27","T0","D","Ditto","D_868",0.568,"T0_D_868"
"2023-04-27","T0","D","Ditto","D_870",0.569,"T0_D_870"
"2023-04-27","T0","D","Ditto","D_871",0.536,"T0_D_871"
"2023-04-27","T0","D","Ditto","D_872",0.556,"T0_D_872"
"2023-04-27","T0","D","Ditto","D_873",0.55,"T0_D_873"
"2023-04-27","T0","D","Ditto","D_874",0.555,"T0_D_874"
